Sport,Tournament,Player_1,Player_2,Event_time,Coef_p1_wins,Coef_draw,Coef_p2_wins,Home_score,Away_score
Волейбол,Россия. Суперлига,Енисей Красноярск,Зенит СПб,12 ноября в 12:30,4.1,-,1.2,-,-
Волейбол,Россия. Суперлига,Оренбуржье Оренбург,Динамо Урал Уфа,12 ноября в 14:00,1.95,-,1.77,-,-
Волейбол,Россия. Суперлига,Факел,Ярославич,12 ноября в 14:00,1.43,-,2.65,-,-
Волейбол,Россия. Суперлига,Динамо ЛО,НОВА,12 ноября в 16:00,1.31,-,3.15,-,-
Волейбол,Россия. Суперлига,МГТУ,Динамо М,12 ноября в 16:30,9.4,-,1.03,-,-
Волейбол,Россия. Суперлига,Газпром-Югра,Зенит Казань,13 ноября в 14:00,11.0,-,1.02,-,-
Волейбол,Россия. Суперлига. Жен,Уралочка-НТМК (ж),Динамо-Ак Барс (ж),14 ноября в 11:00,3.72,-,1.25,-,-
Волейбол,Россия. Суперлига. Жен,Заречье-Одинцово (ж),Протон Саратов (ж),14 ноября в 16:00,1.32,-,3.21,-,-
Волейбол,Россия. Суперлига. Жен,Ленинградка (ж),Корабелка (ж),14 ноября в 16:30,1.28,-,3.48,-,-
Волейбол,Россия. Суперлига. Жен,Локомотив Калининград (ж),Динамо Метар (ж),14 ноября в 17:00,1.15,-,5.02,-,-
Волейбол,Россия. Суперлига. Жен,Енисей Красноярск (ж),Динамо Кр (ж),15 ноября в 11:30,2.09,-,1.7,-,-
Волейбол,Россия. Суперлига. Жен,Омичка (ж),Динамо М (ж),15 ноября в 12:30,3.72,-,1.25,-,-
